ID,Ns.SNP,Xs.SNP,prop.SNP,Ns.WGS,Xs.WGS,prop.WGS
J0010103_1412,1,6,0.0120481927710843,591,1289,0.0224817407181984
J0010107_1511,0,30,0,NA,NA,NA
J0010112_1511,6,37,0.115384615384615,NA,NA,NA
J0010118_1506,5,47,0.119047619047619,NA,NA,NA
J0010120_1412,6,53,0.166666666666667,NA,NA,NA
J0010129_1412,0,25,0,NA,NA,NA
J0020202_1412,0,38,0,NA,NA,NA
J0020208_1412,4,41,0.0833333333333333,NA,NA,NA
J0020301_1412,8,37,0.153846153846154,NA,NA,NA
J0020302_1506,0,0,0,25,458,0.00092186290054943
J0020310_1512,0,49,0,NA,NA,NA
J0020313_1412,0,56,0,NA,NA,NA
J0020322_1511,3,46,0.0697674418604651,NA,NA,NA
J0030406_1701,0,0,0,18,659,0.000668697525819154
J0030406_1702,1,0,0.0112359550561798,87,399,0.00320111855176981
J0030406_1704,0,37,0,NA,NA,NA
J0030406_1705,0,1,0,4,1269,0.000152045005321575
J0030407_1512,0,28,0,NA,NA,NA
J0030409_1610,0,1,0,38,286,0.00139240042504855
J0030417_1412,6,9,0.075,NA,NA,NA
J0040504_1511,0,58,0,NA,NA,NA
J0050605_1511,0,43,0,NA,NA,NA
J0050607_1412,0,1,0,19,1554,0.000730123352419014
J0050611_1611,0,0,0,27,52,0.000980926430517711
J0050616_1512,0,10,0,NA,NA,NA
J0050617_1611,4,0,0.0449438202247191,854,153,0.0311406067677946
J0050618_1610,0,52,0,NA,NA,NA
J0060701_1511,11,1,0.125,1379,120,0.0502239865972248
J0070804_1610,1,28,0.0163934426229508,197,10764,0.0117171236543151
J0080906_1511,0,14,0,NA,NA,NA
J0091005_1603,0,9,0,NA,NA,NA
J0101103_1701,0,0,0,59,262,0.00215998535603148
J0101103_1702,0,0,0,32,452,0.00117972350230415
J0101103_1703,0,24,0,1,20556,0.000142429853297251
J0101103_1704,0,46,0,NA,NA,NA
J0101103_1705,3,39,0.06,NA,NA,NA
J0111201_1412,NA,NA,NA,8,18293,0.000861697544161999
J0111208_1610,0,0,0,17,692,0.000632322856611493
J0111209_1412,0,49,0,NA,NA,NA
